"id_cliente","nombre","apellido","curp","correo","ciudad","delegacion","estado_civil"
1,"Sara","Vélez","IVAG371578KPCDDW29","sara.vélez.0@fintechmasiva.com","Ciudad de México","Venustiano Carranza","casado/a"
2,"María Elena","Caldera","NMAS574338AMPROH42","maría elena.caldera.1@fintechmasiva.com","Ciudad de México","Iztacalco","casado/a"
3,"Mitzy","Sotelo","NURD201753NNITYA08","mitzy.sotelo.2@fintechmasiva.com","Ciudad de México","Azcapotzalco","casado/a"
4,"Sara","Ocampo","KXGV365402KFMZCZ12","sara.ocampo.3@fintechmasiva.com","Ciudad de México","Xochimilco","casado/a"
5,"María Luisa","Gastélum","TKNA168532HICWZG23","maría luisa.gastélum.4@fintechmasiva.com","Ciudad de México","Azcapotzalco","viudo/a"
6,"Jaime","Arias","KFYE293434SGYUDX19","jaime.arias.5@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
7,"Aida","Ureña","JVSD707458VRSKDM26","aida.ureña.6@fintechmasiva.com","Ciudad de México","Coyoacan","soltero/a"
8,"Diana","Sanches","LJGZ562868EMGHQL59","diana.sanches.7@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
9,"Rocío","Canales","TJLX462826FEHAGN80","rocío.canales.8@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
10,"María Cristina","Saavedra","XTJP865906MQSCAS05","maría cristina.saavedra.9@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
11,"Jorge","Rascón","OFBT738954QWWNGZ93","jorge.rascón.10@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
12,"Leonor","Castañeda","PAUX513604LQVLEH21","leonor.castañeda.11@fintechmasiva.com","Ciudad de México","Milpa Alta","viudo/a"
13,"Gabriela","Jimínez","EUAY940299MZMBEN90","gabriela.jimínez.12@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
14,"Karina","Saucedo","TVDD216934ICPLEH31","karina.saucedo.13@fintechmasiva.com","Ciudad de México","Cuauhtemoc","casado/a"
15,"Ángel","Samaniego","ZIML472939CBCPKO60","ángel.samaniego.14@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
16,"Aida","Quintero","EZZT185350GXGRQA04","aida.quintero.15@fintechmasiva.com","Ciudad de México","Xochimilco","viudo/a"
17,"Yuridia","Frías","AXBC069251HQMKTO89","yuridia.frías.16@fintechmasiva.com","Ciudad de México","Tlahuac","soltero/a"
18,"Julio","Zaragoza","SXCG883111INGLWZ54","julio.zaragoza.17@fintechmasiva.com","Ciudad de México","Venustiano Carranza","viudo/a"
19,"Inés","Mayorga","PXPP744413NZYEVR24","inés.mayorga.18@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
20,"Eloisa","Linares","PXWK191982RNYFDW28","eloisa.linares.19@fintechmasiva.com","Ciudad de México","Alvaro Obregon","soltero/a"
21,"José Emilio","Roybal","DZHM361808GETTQG21","josé emilio.roybal.20@fintechmasiva.com","Ciudad de México","Milpa Alta","soltero/a"
22,"Raquel","Salinas","GBUC953275SNAEXH45","raquel.salinas.21@fintechmasiva.com","Ciudad de México","Xochimilco","soltero/a"
23,"Mauro","Garica","CEOR320004VCXRZX58","mauro.garica.22@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
24,"Elias","Olivera","LEML573572SOKVZP78","elias.olivera.23@fintechmasiva.com","Ciudad de México","Azcapotzalco","viudo/a"
25,"José Carlos","Leyva","DTSL760526EVCCLX90","josé carlos.leyva.24@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
26,"Dulce María","Magaña","JYZB799618TJMBBL92","dulce maría.magaña.25@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
27,"Teodoro","Calderón","QUVX637766OTMGPE71","teodoro.calderón.26@fintechmasiva.com","Ciudad de México","Magdalena Contreras","casado/a"
28,"Eugenia","Irizarry","ZAZF043136GCRWHZ07","eugenia.irizarry.27@fintechmasiva.com","Ciudad de México","Coyoacan","viudo/a"
29,"Mauricio","Irizarry","PBII703724BKSXXV40","mauricio.irizarry.28@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
30,"Alfredo","Quiñónez","LRXU752729YHYPGN34","alfredo.quiñónez.29@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
31,"Itzel","Ceballos","KHKI465289ZNQFAW34","itzel.ceballos.30@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
32,"Mercedes","Colunga","RWQV462268YCLSMX93","mercedes.colunga.31@fintechmasiva.com","Ciudad de México","Alvaro Obregon","casado/a"
33,"Wendolin","Leiva","LIRO093358XQMYJC60","wendolin.leiva.32@fintechmasiva.com","Ciudad de México","Azcapotzalco","casado/a"
34,"Adán","Lucero","EYAM971417TYFWYG61","adán.lucero.33@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
35,"Emilia","Abrego","HWGA538800NBZRJC77","emilia.abrego.34@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
36,"Aldonza","Orosco","BLWD146278LTFMLD37","aldonza.orosco.35@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
37,"Judith","Castro","SSUC110331EROUIN12","judith.castro.36@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
38,"Juan","Dueñas","XEZF150780XWHYVP75","juan.dueñas.37@fintechmasiva.com","Ciudad de México","Iztapalapa","viudo/a"
39,"Jesús","Quesada","EWQF236917LLWEUK61","jesús.quesada.38@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
40,"Gerardo","Vergara","GFQT603344LMCEOT15","gerardo.vergara.39@fintechmasiva.com","Ciudad de México","Azcapotzalco","casado/a"
41,"Beatriz","Perea","DLLR030667FBAEDH25","beatriz.perea.40@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
42,"María Teresa","Orozco","SLCM799852VKABJC49","maría teresa.orozco.41@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
43,"Wilfrido","Santiago","XOMY515157TITGKH13","wilfrido.santiago.42@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
44,"Adán","Terrazas","TLUM855419OSBSSB10","adán.terrazas.43@fintechmasiva.com","Ciudad de México","Venustiano Carranza","viudo/a"
